arise 	arose 	arisen 	возникать, появляться
awake 	awakened / awoke 	awakened / awoken 	будить, проснуться
backslide 	backslid 	backslidden / backslid 	отказываться от прежних убеждений
be 	was, were 	been 	быть
bear 	bore 	born / borne 	родить
beat 	beat 	beaten / beat 	бить
become 	became 	become 	становиться, делаться
begin 	began 	begun 	начинать
bend 	bent 	bent 	сгибать, гнуть
bet 	bet / betted 	bet / betted 	держать пари
bind 	bound 	bound 	связать
bite 	bit 	bitten 	кусать
bleed 	bled 	bled 	кровоточить
blow 	blew 	blown 	дуть
break 	broke 	broken 	ломать
breed 	bred 	bred 	выращивать
bring 	brought 	brought 	приносить
broadcast 	broadcast / broadcasted 	broadcast / broadcasted 	распространять, разбрасывать
browbeat 	browbeat 	browbeaten / browbeat 	запугивать
build 	built 	built 	строить
burn 	burned / burnt 	burned / burnt 	гореть, жечь
burst 	burst 	burst 	взрываться, прорываться
bust 	busted / bust 	busted / bust 	разжаловать
buy 	bought 	bought 	покупать
can 	could 	could 	мочь, уметь
cast 	cast 	cast 	бросить, кинуть, вышвырнуть
catch 	caught 	caught 	ловить, хватать, успеть
choose 	chose 	chosen 	выбирать
cling 	clung 	clung 	цепляться, льнуть
clothe 	clothed / clad 	clothed / clad 	одевать (кого-либо)
come 	came 	come 	приходить
cost 	cost 	cost 	стоить, обходиться (в какую-либо сумму)
creep 	crept 	crept 	ползать
cut 	cut 	cut 	резать, разрезать
deal 	dealt 	dealt 	иметь дело
dig 	dug 	dug 	копать
dive 	dove / dived 	dived 	нырять, погружаться
do 	did 	done 	делать, выполнять
draw 	drew 	drawn 	рисовать, чертить
dream 	dreamed / dreamt 	dreamed / dreamt 	грезить, мечтать
drink 	drank 	drunk 	пить
drive 	drove 	driven 	управлять (авто)
dwell 	dwelt / dwelled 	dwelt / dwelled 	обитать, находиться
eat 	ate 	eaten 	есть, кушать
fall 	fell 	fallen 	падать
feed 	fed 	fed 	кормить
feel 	felt 	felt 	чувствовать
fight 	fought 	fought 	драться, сражаться, бороться
find 	found 	found 	находить
fit 	fit 	fit 	подходить по размеру
flee 	fled 	fled 	убегать, спасаться
fling 	flung 	flung 	бросаться, ринуться
fly 	flew 	flown 	летать
forbid 	forbade 	forbidden 	запрещать
forecast 	forecast 	forecast 	предсказывать, предвосхищать
foresee 	foresaw 	foreseen 	предвидеть
foretell 	foretold 	foretold 	предсказывать, прогнозировать
forget 	forgot 	forgotten 	забывать
forgive 	forgave 	forgiven 	прощать
forsake 	forsook 	forsaken 	покидать
freeze 	froze 	frozen 	замерзать
get 	got 	gotten / got 	получать, достигать
give 	gave 	given 	давать
go 	went 	gone 	идти, ехать
grind 	ground 	ground 	молоть, толочь
grow 	grew 	grown 	расти
hang 	hung / hanged 	hung / hanged 	вешать, развешивать
have, has 	had 	had 	иметь
hear 	heard 	heard 	слышать
hew 	hewed 	hewn / hewed 	рубить
hide 	hid 	hidden 	прятаться, скрываться
hit 	hit 	hit 	ударять, поражать
hold 	held 	held 	держать, удерживать, фиксировать
hurt 	hurt 	hurt 	ранить, причинить боль
inlay 	inlaid 	inlaid 	вкладывать, вставлять, выстилать
input 	input / inputted 	input / inputted 	входить
interweave 	interwove 	interwoven 	воткать
keep 	kept 	kept 	держать, хранить
kneel 	knelt / kneeled 	knelt / kneeled 	становиться на колени
knit 	knitted / knit 	knitted / knit 	вязать
know 	knew 	known 	знать, иметь представление (о чем-либо)
lay 	laid 	laid 	класть, положить
lead 	led 	led 	вести, руководить, управлять
lean 	leaned / leant 	leaned / leant 	опираться, прислоняться
leap 	leaped / leapt 	leaped / leapt 	прыгать, скакать
learn 	learnt / learned 	learnt / learned 	учить
leave 	left 	left 	покидать, оставлять
lend 	lent 	lent 	одалживать, давать взаймы
let 	let 	let 	позволять, предполагать
lie 	lay 	lain 	лежать
